recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend,treatment,history_log
6,3) $200 - $350,329.08,1,1,Rural,1,Web,No E-Mail,0,0,0,0,5.79630088230073
9,5) $500 - $750,675.83,1,0,Rural,1,Web,Mens E-Mail,0,0,0,1,6.515941565126805
9,5) $500 - $750,675.07,1,1,Rural,1,Phone,Mens E-Mail,0,0,0,1,6.5148163891993764
2,2) $100 - $200,101.64,0,1,Urban,0,Web,Mens E-Mail,1,0,0,1,4.621437158451963
4,3) $200 - $350,241.42,0,1,Rural,1,Multichannel,No E-Mail,0,0,0,0,5.486538155272981
3,1) $0 - $100,58.13,1,0,Urban,1,Web,No E-Mail,1,0,0,0,4.062681881713259
5,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0,1,3.4008639927609177
9,2) $100 - $200,112.35,1,0,Rural,0,Web,Mens E-Mail,0,0,0,1,4.721618998631338
11,3) $200 - $350,219.04,1,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,5.3892543615401385
5,"6) $750 - $1,000",828.42,1,0,Surburban,1,Multichannel,Mens E-Mail,0,0,0,1,6.719520272156116
9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,No E-Mail,0,0,0,0,3.4008639927609177
11,2) $100 - $200,182.32,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0,1,5.205763384937429
2,2) $100 - $200,118.4,1,0,Surburban,0,Web,Mens E-Mail,1,0,0,1,4.774068722449905
2,1) $0 - $100,29.99,0,1,Urban,1,Phone,No E-Mail,0,0,0,0,3.4008639927609177
4,1) $0 - $100,78.24,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,4.359781025726562
6,2) $100 - $200,139.87,0,1,Rural,1,Web,Mens E-Mail,0,0,0,1,4.940713419791213
12,2) $100 - $200,115.39,0,1,Surburban,0,Phone,Mens E-Mail,1,0,0,1,4.748317695206576
6,2) $100 - $200,162.98,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,5.093627493892074
